bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
80.0,80,80,80,80,80,80.0,0.0,0.0,33.686971675994215,80.0,0,0.5,2,0,0,2
961.2727272727273,66,73,10574,1292,66,820.6086956521739,600.5021972390184,492.46025975505535,165846.5431795016,691.6666666666666,0,0.9166666666666666,12,0,0,1
691.0,54,54,7601,618,60,450.9,177.96448529044036,612.3387357278056,19327.2952502604,157.44444444444446,7,1.2222222222222223,3,3,0,1
616.0909090909091,54,54,6777,967,60,409.8636363636364,269.20160499564525,652.8517100934183,7593.2247921273665,203.63636363636363,7,1.0,4,3,0,4
0.0,66,66,0,66,0,66.0,0.0,0.0,197.4491169636713,66.0,0,0.0,0,3,0,0
77.98206278026906,54,60,17390,1514,54,1219.1057317751809,320.6352659620512,170.15827409585043,45981.50822742182,1380.777001270648,386,0.1416772554002541,1574,0,2,4
156.0,76,76,156,76,156,102.66666666666669,0.0,0.0,10530.634573304158,76.0,0,0.5,2,0,0,5
60.0,55,55,60,55,60,56.66666666666666,0.0,0.0,226063.82978723405,55.0,0,0.5,2,0,0,2
173.83333333333334,54,54,2086,1057,60,287.5833333333333,394.17410140979865,212.7004283545809,1400.7663015649737,401.3333333333333,13,1.0,9,0,0,5
1389.789667896679,54,54,376633,523,60,1160.0881458966564,117.95179288971296,319.26833449865154,21712.41406416531,86.82758620689656,46,4.610169491525424,4,3,0,1
150.0,114,114,5700,150,146,133.4805194805195,9.52356156341056,4.855815829335072,308.49478108651454,117.3846153846154,0,0.9743589743589745,39,0,0,4
54.484177215189874,54,60,16515,1514,54,1123.4265519360786,154.87147197376473,8.566313061820829,286012.9709788539,1397.06050955414,719,0.2655449890270666,1328,0,0,6
54.4299674267101,54,60,16710,1514,54,938.3608445297504,149.0589182526438,5.652028058279383,507156.04286623467,1307.5673469387757,604,0.4176870748299319,735,0,0,6
343.53333333333336,54,54,5153,268,60,240.14814814814807,74.96161054536886,488.6625102142468,13462.56062720085,110.91666666666669,12,1.25,5,3,2,5
72.8,62,62,364,62,71,65.85714285714286,0.0,3.6,269.3392599655526,62.0,0,0.5555555555555556,9,0,0,0
54.0,54,114,15066,1514,54,1122.7852494577007,308.8645626470603,0.0,916762.6375022706,1318.1854475209273,591,0.1827956989247312,1569,0,0,3
85.08943089430895,54,60,10466,1514,54,1296.1356340288924,271.7460301944791,117.87364104899645,123103.17399518484,1428.779162956367,128,0.1095280498664292,1123,0,2,7
78.0,78,78,78,78,78,78.0,0.0,0.0,26.46370587558733,78.0,0,0.5,2,0,0,2
